Wavelength,Eumelanin,Pheomelanin,Baseline,Epidermis,ScatteringEpi,ScatteringDerm,Dermis
380,169.3809478396403,161.5942539940015,0.45161339628080815,0.7746189280985132,10.70062444996002,5.35031222498001,355.4443507756683
390,155.3455418066616,142.83712970835902,0.3786778900801753,0.6643183093212992,9.65854442259583,4.829272211297915,503.2691326255692
400,142.7855189861344,126.65228778807402,0.31819421266359565,0.5715828072042072,8.741823504652602,4.370911752326301,766.4949517188901
410,131.51451650226562,112.63534107303022,0.2680365401608564,0.49348377841038094,7.932784648554808,3.966392324277404,1278.3578016972915
420,121.37347842917981,100.45322139078023,0.22644197748959877,0.42759699392881,7.216592000386382,3.608296000193191,1386.4806772879547
430,112.22612779678802,89.83029665524481,0.19194859776352213,0.37191314624851995,6.58074077024114,3.29037038512057,950.1125741182559
440,103.9552728988143,80.53743328363643,0.16334405984997707,0.324764775164666,6.014647871172193,3.0073239355860966,540.7654885620831
450,96.45977946632703,72.38332974786923,0.1396229981347961,0.2847664693763026,5.509321687090168,2.754660843545084,218.80541761238743
460,89.65207711978748,65.20761221387161,0.11995168686956585,0.2507658368302752,5.057094333685522,2.528547166842761,117.62195877549543
470,83.45609670419829,58.8753053694024,0.10363873715678258,0.2218032346694157,4.651403544099015,2.3257017720495075,86.83830998346284
480,77.80555681409068,53.272382524514505,0.09011079665786136,0.1970786420951885,4.286614166727216,2.143307083363608,70.8284695213928
490,72.64253462098118,48.302167293935106,0.07889239794000427,0.1759243705759604,3.9578714406240603,1.9789357203120301,65.80313596716225
500,67.9162692041523,43.88241065774736,0.069589247190424,0.157782553741454,3.660979885227674,1.830489942613837,62.74550814143835
510,63.582155833944576,39.94290629027485,0.06187436594523779,0.14218655774220196,3.392302930916135,1.6961514654580676,64.40958506622856
520,59.600897723131226,36.42353690431384,0.05547659875544882,0.12874561233138626,3.1486794177464876,1.5743397088732438,78.14776593050689
530,55.937788142581304,33.272667289100454,0.0501710828681783,0.11713209155129768,2.92735387048328,1.46367693524164,119.18025006170889
540,52.56210086872165,30.445817427149983,0.04577134496039612,0.10707097697480723,2.725918070164087,1.3629590350820435,154.72513690209277
550,49.446570979460446,27.904562818376924,0.04212274714851879,0.09833112088813292,2.542261924727234,1.271130962363617,136.84512598913673
560,46.566951262504844,25.615619859870165,0.03909705192033498,0.09071799547918775,2.374532022966332,1.187266011483166,113.7208169392823
570,43.90163211523481,23.550082531374215,0.03658791496255562,0.08406767008075934,2.2210965595934575,1.1105482797967288,133.92010943445365
580,41.43131493009177,21.68278325152247,0.03450714747009626,0.07824180424611002,2.080515561559256,1.040257780779628,140.49910321087808
590,39.13873067627961,19.99175600117882,0.03278161656822498,0.07312348185165847,1.951515540119741,0.9757577700598705,53.64519804981515
600,37.00839678761747,18.457783964937395,0.03135067490650499,0.0686137420866535,1.8329678495970294,0.9164839247985147,18.207993769868647
610,35.02640661061503,17.06401725504145,0.03016402908229783,0.06462868835768047,1.723870160226765,0.8619350801133825,10.471290220610985
620,33.180246605964626,15.795648934622525,0.02917997197516482,0.06109707681885533,1.623330555056699,0.8116652775283495,7.001787277296178
630,31.458637270048442,14.639639689064044,0.02836391686390531,0.05795830325600516,1.5305538443660498,0.7652769221830249,5.2341848364753405
640,29.851394382075767,13.58448321402264,0.02768718180474503,0.055160721069797816,1.4448297592946615,0.7224148796473308,4.253482812360778
650,28.34930771212457,12.620005780844819,0.027125981545132852,0.052660234659289235,1.365522742290122,0.682761371145061,3.6406711338108013
660,26.944034765724194,11.737194571071123,0.026660591541872836,0.05041912204425174,1.2920630979668408,0.6460315489834204,3.139099741829302
670,25.628007507825494,10.928050293523707,0.026274654701280434,0.048405048441587925,1.223939305907184,0.611969652953592,2.7579185874922114
680,24.394350316093952,10.185460351239715,0.02595460647531279,0.046590239022232825,1.1606913283256337,0.5803456641628169,2.430617630227968
690,23.236807670989165,9.503089443808602,0.02568919810748813,0.04495078446106833,1.101904771568543,0.5509523857842715,2.1600468363915395
700,22.14968030664257,8.875284999387258,0.0254691012720866,0.04346605735105216,1.0472057821044447,0.5236028910522224,1.9982861780819046
710,21.127768729112393,8.296995250458005,0.02528658021086004,0.042118221246190995,0.9962565757559048,0.4981282878779524,1.8619356321614107
720,20.16632316290422,7.7636981147969815,0.025135219843817527,0.040891817159490765,0.9487515140674609,0.47437575703373047,1.7774851794425528
730,19.26099911739236,7.271339331415421,0.025009700297978346,0.039773414881305244,0.9044136544100768,0.4522068272050384,1.7042248040135912
740,18.407817875825288,6.816278541125897,0.024905609929439205,0.0387513185909379,0.8629917111102459,0.43149585555512293,1.8404844926792991
750,17.603131304134504,6.3952422015201575,0.024819290267029847,0.03781531798442217,0.8242573739040902,0.4121286869520451,2.2195042344971885
760,16.84359045742784,6.005282393538233,0.02474770742778124,0.03695647759556466,0.7880029376344289,0.39400146881721443,2.4799640203929165
770,16.126117531023013,5.6437407171630865,0.024688345484837216,0.03616695819632696,0.754039203562606,0.377019601781303,2.4464838428413453
780,15.447880761984283,5.308216591742097,0.024639118040004362,0.035439865168363394,0.722193618147089,0.3610968090735445,2.4041536956020577
380,169.3809478396403,161.5942539940015,0.45161339628080815,0.7726995711643199,10.70062444996002,5.35031222498001,2369.6288516225673
390,155.3455418066616,142.83712970835902,0.3786778900801753,0.6627089282884585,9.65854442259583,4.829272211297915,3355.1274220866453
400,142.7855189861344,126.65228778807402,0.31819421266359565,0.5702304818003869,8.741823504652602,4.370911752326301,5109.966236606568
