Wavelength,Cm, Ch, Bm,Eumelanin,Pheomelanin,Baseline,Epidermis,ScatteringEpi,ScatteringDerm,Dermis,Reflectance
380,0.002,0.003,0.01,169.3809478396403,161.5942539940015,0.45161339628080815,0.07746189280985132,10.70062444996002,5.35031222498001,0.04907857756682759,0.8690533552781337
390,0.002,0.003,0.01,155.3455418066616,142.83712970835902,0.3786778900801753,0.06643183093212993,9.65854442259583,4.829272211297915,0.05149006255692299,0.8585694870853634
400,0.002,0.003,0.01,142.7855189861344,126.65228778807402,0.31819421266359565,0.057158280720420715,8.741823504652602,4.370911752326301,0.05403412188900768,0.849639014030835
410,0.002,0.003,0.01,131.51451650226562,112.63534107303022,0.2680365401608564,0.04934837784103809,7.932784648554808,3.966392324277404,0.07378529472916212,0.7999835056393761
420,0.002,0.003,0.01,121.37347842917981,100.45322139078023,0.22644197748959877,0.042759699392881004,7.216592000386382,3.608296000193191,0.07547752879546714,0.7920971450672265
430,0.002,0.003,0.01,112.22612779678802,89.83029665524481,0.19194859776352213,0.03719131462485199,6.58074077024114,3.29037038512057,0.04479453682559107,0.8391099583158498
440,0.002,0.003,0.01,103.9552728988143,80.53743328363643,0.16334405984997707,0.0324764775164666,6.014647871172193,3.0073239355860966,0.046327006208301116,0.8267831853852499
450,0.002,0.003,0.01,96.45977946632703,72.38332974786923,0.1396229981347961,0.028476646937630263,5.509321687090168,2.754660843545084,0.015655036238742117,0.9104950937939938
460,0.002,0.003,0.01,89.65207711978748,65.20761221387161,0.11995168686956585,0.02507658368302752,5.057094333685522,2.528547166842761,0.008883552549542689,0.9319404830109845
470,0.002,0.003,0.01,83.45609670419829,58.8753053694024,0.10363873715678258,0.02218032346694157,4.651403544099015,2.3257017720495075,0.006312398346283594,0.940949066455018
480,0.002,0.003,0.01,77.80555681409068,53.272382524514505,0.09011079665786136,0.01970786420951885,4.286614166727216,2.143307083363608,0.004670277139280366,0.949216755449604
490,0.002,0.003,0.01,72.64253462098118,48.302167293935106,0.07889239794000427,0.017592437057596038,3.9578714406240603,1.9789357203120301,0.003941221716223855,0.9520296174746374
500,0.002,0.003,0.01,67.9162692041523,43.88241065774736,0.069589247190424,0.0157782553741454,3.660979885227674,1.830489942613837,0.003656214143834656,0.9535776961800428
510,0.002,0.003,0.01,63.582155833944576,39.94290629027485,0.06187436594523779,0.014218655774220195,3.392302930916135,1.6961514654580676,0.003595106622854221,0.9525416499709576
520,0.002,0.003,0.01,59.600897723131226,36.42353690431384,0.05547659875544882,0.012874561233138626,3.1486794177464876,1.5743397088732438,0.003825393050687755,0.9499533341423247
530,0.002,0.003,0.01,55.937788142581304,33.272667289100454,0.0501710828681783,0.011713209155129769,2.92735387048328,1.46367693524164,0.004806906170885872,0.9378667616295453
540,0.002,0.003,0.01,52.56210086872165,30.445817427149983,0.04577134496039612,0.010707097697480723,2.725918070164087,1.3629590350820435,0.007485940209277654,0.9155723297934595
550,0.002,0.003,0.01,49.446570979460446,27.904562818376924,0.04212274714851879,0.009833112088813292,2.542261924727234,1.271130962363617,0.009019198913672121,0.8996041080264295
560,0.002,0.003,0.01,46.566951262504844,25.615619859870165,0.03909705192033498,0.009071799547918775,2.374532022966332,1.187266011483166,0.007353143928229372,0.9082232215817446
570,0.002,0.003,0.01,43.90163211523481,23.550082531374215,0.03658791496255562,0.008406767008075935,2.2210965595934575,1.1105482797967288,0.006100418445365301,0.9155525604917067
580,0.002,0.003,0.01,41.43131493009177,21.68278325152247,0.03450714747009626,0.007824180424611003,2.080515561559256,1.040257780779628,0.006904396087808305,0.9044330771815468
590,0.002,0.003,0.01,39.13873067627961,19.99175600117882,0.03278161656822498,0.007312348185165847,1.951515540119741,0.9757577700598705,0.006612054981515557,0.9038333767689806
600,0.002,0.003,0.01,37.00839678761747,18.457783964937395,0.03135067490650499,0.00686137420866535,1.8329678495970294,0.9164839247985147,0.0019452019868645355,0.955396956124793
610,0.002,0.003,0.01,35.02640661061503,17.06401725504145,0.03016402908229783,0.006462868835768047,1.723870160226765,0.8619350801133825,0.0007143220610985152,0.9726343068187225
620,0.002,0.003,0.01,33.180246605964626,15.795648934622525,0.02917997197516482,0.006109707681885533,1.623330555056699,0.8116652775283495,0.0004340527296177718,0.97712711319985
630,0.002,0.003,0.01,31.458637270048442,14.639639689064044,0.02836391686390531,0.005795830325600515,1.5305538443660498,0.7652769221830249,0.0003261836475339941,0.9786411197981189
640,0.002,0.003,0.01,29.851394382075767,13.58448321402264,0.02768718180474503,0.005516072106979781,1.4448297592946615,0.7224148796473308,0.00024805623607779926,0.9797143078596721
650,0.002,0.003,0.01,28.34930771212457,12.620005780844819,0.027125981545132852,0.005266023465928924,1.365522742290122,0.682761371145061,0.00020851338108014928,0.9807638298066431
660,0.002,0.003,0.01,26.944034765724194,11.737194571071123,0.026660591541872836,0.005041912204425174,1.2920630979668408,0.6460315489834204,0.00018729918293017417,0.9809633418244231
670,0.002,0.003,0.01,25.628007507825494,10.928050293523707,0.026274654701280434,0.004840504844158792,1.223939305907184,0.611969652953592,0.000168883749221153,0.9805106981067946
680,0.002,0.003,0.01,24.394350316093952,10.185460351239715,0.02595460647531279,0.004659023902223282,1.1606913283256337,0.5803456641628169,0.00014883802279676604,0.9808345871097447
690,0.002,0.003,0.01,23.236807670989165,9.503089443808602,0.02568919810748813,0.004495078446106833,1.101904771568543,0.5509523857842715,0.0001294086391539497,0.9811932263034817
